month,year,births,date,t,year_idx,month_idx,log_births
7,1998,5319,1998-07-15,1998.5,32,6,8.579040594742317
8,1998,5068,1998-08-15,1998.5833333333333,32,7,8.53070154144103
9,1998,5091,1998-09-15,1998.6666666666667,32,8,8.535229553902337
10,1998,4641,1998-10-15,1998.75,32,9,8.442685139241176
11,1998,4232,1998-11-15,1998.8333333333333,32,10,8.350429973538136
12,1998,4148,1998-12-15,1998.9166666666667,32,11,8.330381569349418
1,1999,4768,1999-01-15,1999.0,33,0,8.469682208745185
2,1999,4610,1999-02-15,1999.0833333333333,33,1,8.435983135990694
3,1999,5358,1999-03-15,1999.1666666666667,33,2,8.586346050104554
4,1999,5207,1999-04-15,1999.25,33,3,8.557759153162898
5,1999,5389,1999-05-15,1999.3333333333333,33,4,8.592115117933497
6,1999,5064,1999-06-15,1999.4166666666667,33,5,8.529911963824013
7,1999,5208,1999-07-15,1999.5,33,6,8.557951183888406
8,1999,5158,1999-08-15,1999.5833333333333,33,7,8.54830418644129
9,1999,5026,1999-09-15,1999.6666666666667,33,8,8.522379718103538
10,1999,4710,1999-10-15,1999.75,33,9,8.457443187010464
11,1999,4318,1999-11-15,1999.8333333333333,33,10,8.370547611074752
12,1999,4482,1999-12-15,1999.9166666666667,33,11,8.407824654360873
1,2000,4838,2000-01-15,2000.0,34,0,8.484256691169973
2,2000,4988,2000-02-15,2000.0833333333333,34,1,8.514790306799927
3,2000,5326,2000-03-15,2000.1666666666667,34,2,8.580355766373877
4,2000,5185,2000-04-15,2000.25,34,3,8.553525120663627
5,2000,5421,2000-05-15,2000.3333333333333,34,4,8.598035579260339
6,2000,4937,2000-06-15,2000.4166666666667,34,5,8.504513138258863
7,2000,5201,2000-07-15,2000.5,34,6,8.556606193773073
8,2000,5118,2000-08-15,2000.5833333333333,34,7,8.540519016719735
9,2000,4885,2000-09-15,2000.6666666666667,34,8,8.493924564476883
10,2000,4575,2000-10-15,2000.75,34,9,8.428361977709622
11,2000,4280,2000-11-15,2000.8333333333333,34,10,8.361708288575842
12,2000,4480,2000-12-15,2000.9166666666667,34,11,8.40737832540903
1,2001,4959,2001-01-15,2001.0,35,0,8.508959386489133
2,2001,4495,2001-02-15,2001.0833333333333,35,1,8.410720946905721
3,2001,4958,2001-03-15,2001.1666666666667,35,2,8.508757712595136
4,2001,5009,2001-04-15,2001.25,35,3,8.518991573357617
5,2001,5018,2001-05-15,2001.3333333333333,35,4,8.520786726926367
6,2001,4955,2001-06-15,2001.4166666666667,35,5,8.508152446764088
7,2001,4919,2001-07-15,2001.5,35,6,8.50086053679534
8,2001,4852,2001-08-15,2001.5833333333333,35,7,8.48714627006394
9,2001,4742,2001-09-15,2001.6666666666667,35,8,8.464214266625351
10,2001,4555,2001-10-15,2001.75,35,9,8.423980809694058
11,2001,4153,2001-11-15,2001.8333333333333,35,10,8.331586243630754
12,2001,4081,2001-12-15,2001.9166666666667,35,11,8.314097335405807
1,2002,4664,2002-01-15,2002.0,36,0,8.447628728030327
2,2002,4415,2002-02-15,2002.0833333333333,36,1,8.392763113038061
3,2002,4777,2002-03-15,2002.1666666666667,36,2,8.471568013389962
4,2002,4757,2002-04-15,2002.25,36,3,8.467372496432281
5,2002,4831,2002-05-15,2002.3333333333333,36,4,8.482808764554406
6,2002,4663,2002-06-15,2002.4166666666667,36,5,8.44741429680832
7,2002,5072,2002-07-15,2002.5,36,6,8.531490496117062
8,2002,4795,2002-08-15,2002.5833333333333,36,7,8.475328987317539
9,2002,4613,2002-09-15,2002.6666666666667,36,8,8.43663368355782
10,2002,4579,2002-10-15,2002.75,36,9,8.429235912657095
11,2002,4143,2002-11-15,2002.8333333333333,36,10,8.329175442077402
12,2002,4125,2002-12-15,2002.9166666666667,36,11,8.324821298768782
1,2003,4644,2003-01-15,2003.0,37,0,8.443331342817782
2,2003,4226,2003-02-15,2003.0833333333333,37,1,8.349011198176003
3,2003,4717,2003-03-15,2003.1666666666667,37,2,8.458928283284262
4,2003,4782,2003-04-15,2003.25,37,3,8.47261414801827
5,2003,4998,2003-05-15,2003.3333333333333,37,4,8.516793111394898
6,2003,4718,2003-06-15,2003.4166666666667,37,5,8.45914025996762
7,2003,5179,2003-07-15,2003.5,37,6,8.552367266423891
8,2003,4965,2003-08-15,2003.5833333333333,37,7,8.510168576479273
9,2003,4881,2003-09-15,2003.6666666666667,37,8,8.493105395887147
10,2003,4834,2003-10-15,2003.75,37,9,8.483429561263428
11,2003,4258,2003-11-15,2003.8333333333333,37,10,8.356554845453426
12,2003,4256,2003-12-15,2003.9166666666667,37,11,8.35608503102148
1,2004,4873,2004-01-15,2004.0,38,0,8.491465042843506
2,2004,4496,2004-02-15,2004.0833333333333,38,1,8.410943391573527
3,2004,4996,2004-03-15,2004.1666666666667,38,2,8.516392871245468
4,2004,4872,2004-04-15,2004.25,38,3,8.491259809389733
5,2004,4869,2004-05-15,2004.3333333333333,38,4,8.4906438561827
6,2004,4868,2004-06-15,2004.4166666666667,38,5,8.490438454107418
7,2004,5210,2004-07-15,2004.5,38,6,8.558335134747413
8,2004,4851,2004-08-15,2004.5833333333333,38,7,8.486940148245216
9,2004,4751,2004-09-15,2004.6666666666667,38,8,8.46611040118692
10,2004,4603,2004-10-15,2004.75,38,9,8.434463543817241
11,2004,4257,2004-11-15,2004.8333333333333,38,10,8.356319965828153
12,2004,4305,2004-12-15,2004.9166666666667,38,11,8.367532416861831
1,2005,4714,2005-01-15,2005.0,39,0,8.458292083496076
2,2005,4445,2005-02-15,2005.0833333333333,39,1,8.399535147948004
3,2005,4840,2005-03-15,2005.1666666666667,39,2,8.484669999710677
4,2005,4979,2005-04-15,2005.25,39,3,8.512984346642183
5,2005,4968,2005-05-15,2005.3333333333333,39,4,8.510772623613315
6,2005,4940,2005-06-15,2005.4166666666667,39,5,8.505120610181969
7,2005,5081,2005-07-15,2005.5,39,6,8.533263371593732
8,2005,4993,2005-08-15,2005.5833333333333,39,7,8.51579221050061
9,2005,4852,2005-09-15,2005.6666666666667,39,8,8.48714627006394
10,2005,4632,2005-10-15,2005.75,39,9,8.440744019252831
11,2005,4197,2005-11-15,2005.8333333333333,39,10,8.34212526333359
12,2005,4115,2005-12-15,2005.9166666666667,39,11,8.32239411311117
1,2006,4742,2006-01-15,2006.0,40,0,8.464214266625351
2,2006,4562,2006-02-15,2006.0833333333333,40,1,8.425516402844334
3,2006,5150,2006-03-15,2006.1666666666667,40,2,8.546751993657782
4,2006,4967,2006-04-15,2006.25,40,3,8.51057131510735
5,2006,5224,2006-05-15,2006.3333333333333,40,4,8.561018670956267
6,2006,5024,2006-06-15,2006.4166666666667,40,5,8.521981708148035
7,2006,5318,2006-07-15,2006.5,40,6,8.578852571802965
8,2006,5143,2006-08-15,2006.5833333333333,40,7,8.545391845774915
9,2006,4942,2006-09-15,2006.6666666666667,40,8,8.505525386548555
10,2006,4763,2006-10-15,2006.75,40,9,8.46863300080086
11,2006,4463,2006-11-15,2006.8333333333333,40,10,8.40357646462927
12,2006,4247,2006-12-15,2006.9166666666667,40,11,8.353968130313271
1,2007,4954,2007-01-15,2007.0,41,0,8.507950610049305
2,2007,4455,2007-02-15,2007.0833333333333,41,1,8.40178233990491
3,2007,4922,2007-03-15,2007.1666666666667,41,2,8.501470230951002
4,2007,4909,2007-04-15,2007.25,41,3,8.498825534058053
5,2007,5125,2007-05-15,2007.3333333333333,41,4,8.54188580400661
6,2007,5149,2007-06-15,2007.4166666666667,41,5,8.546557800046141
7,2007,5258,2007-07-15,2007.5,41,6,8.567506005289827
8,2007,5194,2007-08-15,2007.5833333333333,41,7,8.555259392222693
9,2007,4844,2007-09-15,2007.6666666666667,41,8,8.485496104672983
10,2007,4914,2007-10-15,2007.75,41,9,8.499843553081124
11,2007,4407,2007-11-15,2007.8333333333333,41,10,8.390949464841986
12,2007,4328,2007-12-15,2007.9166666666667,41,11,8.372860820526318
1,2008,4916,2008-01-15,2008.0,42,0,8.500250470685925
2,2008,4766,2008-02-15,2008.0833333333333,42,1,8.469262657658687
3,2008,5032,2008-03-15,2008.1666666666667,42,2,8.523572798380277
4,2008,5200,2008-04-15,2008.25,42,3,8.556413904569519
5,2008,5428,2008-05-15,2008.3333333333333,42,4,8.59932602095476
6,2008,5235,2008-06-15,2008.4166666666667,42,5,8.563122123304638
7,2008,5548,2008-07-15,2008.5,42,6,8.621192781434722
8,2008,5293,2008-08-15,2008.5833333333333,42,7,8.574140471857987
9,2008,5092,2008-09-15,2008.6666666666667,42,8,8.535425959677298
10,2008,4931,2008-10-15,2008.75,42,9,8.503297086224126
11,2008,4503,2008-11-15,2008.8333333333333,42,10,8.412499120301572
12,2008,4553,2008-12-15,2008.9166666666667,42,11,8.423541635334782
1,2009,5021,2009-01-15,2009.0,43,0,8.521384396034705
2,2009,4683,2009-02-15,2009.0833333333333,43,1,8.451694209183541
3,2009,5100,2009-03-15,2009.1666666666667,43,2,8.536995818712418
4,2009,5329,2009-04-15,2009.25,43,3,8.580918882296782
5,2009,5431,2009-05-15,2009.3333333333333,43,4,8.599878558034845
6,2009,5446,2009-06-15,2009.4166666666667,43,5,8.602636673233706
7,2009,5514,2009-07-15,2009.5,43,6,8.615045591583742
8,2009,5517,2009-08-15,2009.5833333333333,43,7,8.61558951327243
9,2009,5329,2009-09-15,2009.6666666666667,43,8,8.580918882296782
10,2009,4976,2009-10-15,2009.75,43,9,8.512381634419015
11,2009,4807,2009-11-15,2009.8333333333333,43,10,8.47782846789396
12,2009,4654,2009-12-15,2009.9166666666667,43,11,8.445482343862237
1,2010,5078,2010-01-15,2010.0,44,0,8.532672762264625
2,2010,4738,2010-02-15,2010.0833333333333,44,1,8.463370384718731
3,2010,5181,2010-03-15,2010.1666666666667,44,2,8.552753366814787
4,2010,5112,2010-04-15,2010.25,44,3,8.53934599605737
5,2010,5262,2010-05-15,2010.3333333333333,44,4,8.568266461600238
6,2010,5368,2010-06-15,2010.4166666666667,44,5,8.588210678651517
7,2010,5576,2010-07-15,2010.5,44,6,8.62622695244036
8,2010,5357,2010-08-15,2010.5833333333333,44,7,8.58615939588096
9,2010,5318,2010-09-15,2010.6666666666667,44,8,8.578852571802965
10,2010,5149,2010-10-15,2010.75,44,9,8.546557800046141
11,2010,4697,2010-11-15,2010.8333333333333,44,10,8.454679286026995
12,2010,4606,2010-12-15,2010.9166666666667,44,11,8.43511508038063
1,2011,4993,2011-01-15,2011.0,45,0,8.51579221050061
2,2011,4482,2011-02-15,2011.0833333333333,45,1,8.407824654360873
3,2011,4930,2011-03-15,2011.1666666666667,45,2,8.503094267036737
4,2011,5149,2011-04-15,2011.25,45,3,8.546557800046141
